,Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
,PRODUCTION OF IDENTITY CARDS AND LUGGAGE TAGS FOR YEAR 2022 HAJJ EXERCISE,MUSLIM PILGRIMS WELFARE BOARD,ocds-5q8fsw-11202271541530,"1,600,000.00",CROWN PLASTIC CARDS CONCEPTS,Private Organization,"1,000,001 to 5,000,000",5,2022,COMPLETED,,"Tuesday, August 9, 2022","Sunday, November 13, 2022",LAGOS
,Year 2022 Basic Life Support (First AID/CPR/AED) Training for Health Workers in the State s Secondary Health Facilities,HEALTH SERVICE COMMISSION,ocds-5q8fsw-11202264151821,"71,957,825.00",MAGNA CARTA HEALTH LTD,Private Organization,,0,2022,COMPLETED,,"Friday, September 9, 2022","Sunday, November 13, 2022",LAGOS ISLAND
,"Renovation 20 Classroom Block at Awori Senior College, Ojo",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202246307021,"106,813,764.16",FOLI TRANSPORT ENGINEERING AND SOLUTIONS LTD,Private Organization,,0,2022,ONGOING,,"Friday, September 9, 2022","Sunday, November 13, 2022","OJO, LAGOS"
,"Renovation of Classroom Block and Construction of 90m Fence at St. Paul Anglican Primary School, Alakara, Mushin",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202273356580,"37,800,000.00",BRIDGEVINE RESOURCES LIMITED,Private Organization,,0,2022,ONGOING,,"Friday, September 9, 2022","Friday, November 11, 2022","MUSHIN, LAGOS"
,"Renovation of 17 1 Classroom Block at Ilogbo Elegba Senior College, Ojo",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202280430758,"98,373,118.64",JOCHAFIK NIG COMPANY,Private Organization,,0,2022,ONGOING,,"Friday, September 9, 2022","Friday, November 11, 2022","OJO, LAGOS"
,"Construction of Perimeter Fence on inverted T raft foundation and Gate House at Ilogbo Eremi, Badagry, Lagos",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202244556710,"77,198,927.97",DASIR INTERNATIONAL RESOURCES LTD,Private Organization,"50,000,001 to 100,000,000",19,2022,ONGOING,,"Friday, September 9, 2022","Friday, November 11, 2022","BADAGRY, LAGOS"
,Engagement of Consultant for Soil Investigation for the Proposed Construction of New Blocks of Public Secondary Schools in Lagos State,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202206884340,"22,467,500.00",RFI INTEG SERVICES,Private Organization,,0,2022,COMPLETED,,"Wednesday, August 17, 2022","Friday, November 11, 2022",LAGOS
,Engagement of Consultant for Procurement of Accounting Software,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202275277868,"4,915,975.00",WEBSCAN SYSTEM LIMITED,Private Organization,"25,000,001 to 50,000,000",17,2022,COMPLETED,,"Monday, August 1, 2022","Friday, November 11, 2022",LAGOS
,"Renovation of 3nos Blocks of Classroom and 20Nos Cubicle Toilets at Gbenopo Nur/Pry Sch, Ajara, Badagry",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202213303782,"163,831,686.90",FJS ENGINEERING GLOBAL LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, June 30, 2022","Thursday, November 10, 2022","BADAGRY, LAGOS"
,"Construction of a 70M Fencework at Gbenopo Nur/Pry School, Ajara, Badagry",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202266536258,"97,133,124.09",RISING STARS TECHNICAL SERVICES LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, June 30, 2022","Thursday, November 10, 2022","BADAGRY, LAGOS"
,"Renovation of Roman Catholic Mission Igbodu, Epe and ogombo Community Primary School, Okunraye",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202257848620,"24,499,301.07",RIFSON GLOBAL COMPANY LIMITED,Private Organization,"100,000,001 to 200,000,000",33,2022,ONGOING,,"Monday, June 27, 2022","Thursday, November 10, 2022","OKUNRAYE, LAGOS"
,Engagement of Services (Catering) Frame Work Agreement for SCRPS Various Meetings,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202212356337,"6,300,000.00",SOUGHTOUT SYNERGY LTD,Private Organization,,0,2022,COMPLETED,,"Wednesday, April 20, 2022","Thursday, November 10, 2022",LAGOS
,Overhauling of Conference Room and Partitioning Some Offices,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202244846351,"5,336,945.00",TWINKLE DOTS NIG LTD,Private Organization,,0,2022,COMPLETED,,"Thursday, June 23, 2022","Thursday, November 10, 2022",LAGOS
,"Construction of 8 Classroom Block with 10 Toilets at Egbin Community Primary School, Ikorodu, Lagos",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202284154855,"104,949,450.60",VICODAL NIGERIA VENTURES LIMITED,Private Organization,"200,000,001 to 250,000,000",43,2022,ONGOING,,"Wednesday, June 29, 2022","Thursday, November 10, 2022",LAGOS
,Servicing of the Two Generating Sets in SCRPS Office,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202231260480,"1,450,207.26",LAURYNBANKY INTERNATIONAL COMPANY,Private Organization,,0,2022,COMPLETED,,"Thursday, July 7, 2022","Thursday, November 10, 2022",LAGOS
