Project Name,Price,Client,State,OCID,Year,Status,Award Date,Location
In-House Training for Officers,"2,731,450.00",BOLD PERCEPTION CONSULT,Lagos,ocds-5q8fsw-6202285342314,2022.0,COMPLETED,"Wednesday, March 9, 2022",LAGOS
"Construction of a Block of 13 Classrooms, Head Teacher s Office, Assistant Head Teacher s Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Ansarudeen Primary School, Abule Ado, Amuwo Odofin LGEA.","136,417,528.49",CSDC SYSTEMS SOLUTIONS LIMITED,Lagos,ocds-5q8fsw-6202258432161,2021.0,ONGOING,"Wednesday, December 1, 2021","AMUWO ODOFIN, LAGOS"
In-House Training for Officers,"2,815,875.00",BOLD PERCEPTION CONSULT,Lagos,ocds-5q8fsw-6202260628622,2022.0,COMPLETED,"Wednesday, February 16, 2022",LAGOS
"Construction of a Block of 20 Classrooms, Head Teacher s Office, Assistant Head Teacher s Office, Store and Toilets with Fire Fighting and Fire Alarm (Pad Foundation), including Borehole and Overhead Tank at St. Andrew s Anglican Primary School, Ipaja, Alimosho LGEA.","181,010,555.37",PEOPLE S CHOICE PROPERTIES LIMITED,Lagos,ocds-5q8fsw-6202257136010,2021.0,ONGOING,"Wednesday, December 1, 2021","ALIMOSHO, LAGOS"
ENGAGEMENT OF CONSULTANT FOR TRAINING ON BASICS OF TRANSITIONING TO VIRTUAL WORKFORCE.,"4,000,000.00",MOLAD BUSINESS SCHOOL,Lagos,ocds-5q8fsw-6202253404450,2021.0,COMPLETED,"Monday, September 27, 2021","IKORODU, LAGOS"
DEMOLITION OF DILAPITATED STRUCTURES IN PUBLIC PRIMARY SCHOOLS IN LAGOS STATE,"4,945,000.00",IMORO VENTURES ENTERPRISES,Lagos,ocds-5q8fsw-6202243142017,2021.0,ONGOING,"Thursday, July 29, 2021","IKORODU, LAGOS"
CONSTRUCTION OF ABIOLA-ONIJEMO LINK ROAD WITH BRIDGE IN IFAKO IJAIYE LOCAL GOVERNMENT AREA,"4,995,763,931.58",GELD CONSTRUCTION LTD,Lagos,ocds-5q8fsw-6202258084805,2022.0,new award,"Thursday, May 19, 2022",IFAKO-IJAIYE LGA
CONSTRUCTION OF GBERIGBE ROAD (EWU-ELEPE-GBODU JUNCTION-GBERIGBE TOWN) IN IKORODU LOCAL GOVERNMENT AREA,"8,923,928,222.86",ARAB CONTRACTORS O. A .O NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202212163007,2022.0,new award,"Wednesday, May 11, 2022",IKORODU LGA
CONSTRUCTION/REHABLITATION OF AKINDE/ADETIBA ROAD IN IFAKO IJAIYE LOCAL GOVERNMENT AREA(CONTRACT REVIEW AND ADDITIONAL WORKS),"217,995,921.86",BASNAZ CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-6202272580475,2022.0,ONGOING,"Monday, April 11, 2022",IFAKO-IJAIYE
MEDIA CAMPAIGN AND ADVOCACY ON MENACE OF COMMERCIAL MOTORCYCLES (OKADA) AND TRICYCLE (KEKE MARWA) RIDERS,"24,000,000.00",UPSHOT MEDIA LIMITED,Lagos,ocds-5q8fsw-6202222640686,2022.0,ONGOING,"Thursday, May 26, 2022",LAGOS STATE
PROCUREMENT OF PROFESSIONAL WORK TOOLS FOR OUTSTANDING PUBLIC AFFAIR OFFFICERS OF Y2021,"3,000,000.00",KOINE GLOBAL SERVICES LTD,Lagos,ocds-5q8fsw-6202232452205,2022.0,COMPLETED,"Thursday, March 17, 2022","ALAUSA, IKEJA"
PROCUREMENT OF OPERATIONAL  TOOLS FOR THE FILM PHOTO UNIT OF THE MINISTRY,"4,600,000.00",OKWUE ENTERPRISES NIGERIA,Lagos,ocds-5q8fsw-6202207062336,2022.0,COMPLETED,"Thursday, March 17, 2022","ALAUSA, IKEJA"
PROCUREMENT OF OPERATIONAL TOOLS AND EQUIPMENT FOR THE EDITING AND GRAPHIC ARTS UNIT OF THE MINISTRY,"4,500,000.00",OKWUE ENTERPRISES NIGERIA,Lagos,ocds-5q8fsw-6202270632531,2022.0,COMPLETED,"Thursday, March 17, 2022",Unspecified
PROCUREMENT OF OPERATIONAL EQUIPMENT FOR THE EDITING UNIT OF THE MINISTRY,"5,000,000.00",OKWUE ENTERPRISES NIGERIA,Lagos,ocds-5q8fsw-6202240762883,2022.0,COMPLETED,"Thursday, March 17, 2022","ALAUSA, IKEJA"
SUPPLY OF EXHIBITION EQUIPMENT,"2,788,000.00",GOLDWATERS ASSOCIATES,Lagos,ocds-5q8fsw-6202266232045,2021.0,COMPLETED,"Monday, July 19, 2021",LAGOS
"SUPPLY OF FURNITURE, EQUIPMEN, SCREEDING AND PAINTING OF THE DIRECTORATE OF ADMIN. HR","2,727,200.00",WUWAX NIG. LTD,Lagos,ocds-5q8fsw-6202200286621,2021.0,COMPLETED,"Monday, July 19, 2021","IKEJA, LAGOS"
EXCAVATION AND RECONSTRUCTION OF COLLAPSE SEPTIC TANK AND FIVE WASTE CHAMBERS AT BACK OF OFFICE,"1,500,500.00",AMO EXCEL ENTERPRISES,Lagos,ocds-5q8fsw-6202262550763,2021.0,COMPLETED,"Wednesday, July 14, 2021","IKEJA, LAGOS"
"SUPPLY OF OFFICE FURNTURE AND EQUIPMENT FOR CONFERENCE ROOM OFFICE OF DIRECTOR, A HR","4,500,000.00",FAVERITH ADE-OLA NIG. ENTERPRISE,Lagos,ocds-5q8fsw-6202253787543,2021.0,COMPLETED,"Wednesday, July 7, 2021",LAGOS
SUPPLY OF OFFICE FURNITURE AND EQUIPMENT FOR OFFICE OF PERMANENT SECRETARY,"4,500,000.00",WUWAX NIG. LTD,Lagos,ocds-5q8fsw-6202252234082,2021.0,COMPLETED,"Friday, July 2, 2021","IKEJA, LAGOS"
SUPPLY OF TECHNICAL CONSUMABLE ITEMS FOR THE CORE DEPARTMENTS,"2,495,000.00",EZETUN VENTURES,Lagos,ocds-5q8fsw-6202275482685,2021.0,COMPLETED,"Friday, June 11, 2021","IKEJA, LAGOS"
"PRODUCTION OF DOCUMENTARY, INTERVIEW SESSIONS AND FEATURE PUBLICATION IN NATIONAL NEWSPAPERS","2,250,000.00",BYLINE MEDIA SERVICES,Lagos,ocds-5q8fsw-6202212678266,2021.0,COMPLETED,"Monday, May 31, 2021","IKEJA, LAGOS"
SUPPLY OF OFFICE FURNITURE AND EQUIPMENT FOR HEAD OF PROCUREMENT UNIT,"1,179,000.00",WUWAX NIG. LTD,Lagos,ocds-5q8fsw-6202232813355,2021.0,COMPLETED,"Monday, May 31, 2021","ALAUSA, IKEJA"
RENOVATION AND SUPPLY OF OFFICE FURNITURE AND EQUIPMENT,"5,500,000.00",AMO EXCEL ENTERPRISES,Lagos,ocds-5q8fsw-6202225105053,2021.0,COMPLETED,"Friday, May 14, 2021","ALAUSA, IKEJA"
"Construction of a Block of 13 Classrooms, Head Teacher s Office, Assistant Head Teacher s Office, Store and Toilets with Fire Fighting and Fire Alarm (Pad Foundation), including Borehole and Overhead Tank at St. John Primary School, Imota, Ikorodu LGEA.","126,488,568.88",ABRAFEM CONSTRUCTION LTD,Lagos,ocds-5q8fsw-6202251340460,2021.0,ONGOING,"Wednesday, December 1, 2021","IKORODU, LAGOS"
"Construction of a Block of 20 Classrooms, Head Teacher s Office, Assistant Head Teacher s Office, Store and Toilets with Fire Fighting and Fire Alarm (Pad Foundation), including Borehole and Overhead Tank at Community Primary School, Odo Nla, Ikorodu LGEA.","181,109,267.83",BABKAZ CONTRACTORS LIMITED,Lagos,ocds-5q8fsw-6202268007505,2021.0,ONGOING,"Wednesday, December 1, 2021","IKORODU, LAGOS"
Upgrading of Two Existing Libraries in Two Public Primary Schools in Lagos State and LASUBEB.,"9,990,000.00",AT S INVESTMENTS LIMITED,Lagos,ocds-5q8fsw-6202223127132,2021.0,ONGOING,"Wednesday, September 29, 2021","IKORODU, LAGOS"
ENGAGEMENT OF MEDIA CONSULTANT FOR EKO EXCEL,"150,000,000.00",KABITI MEDIA HOUSE LIMITED (FORMERLY GRAND BLANC LIMITED),Lagos,ocds-5q8fsw-6202255855353,2021.0,ONGOING,"Friday, September 17, 2021","ALAUSA, IKEJA"
Furnishing and Installation of the Ministry Conference Hall,"20,390,556.34",ORIGIN TECH GROUP NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202251040324,2021.0,ONGOING,"Friday, December 24, 2021","ALAUSA, IKEJA"
PROCUREMENT OF OPERATIONAL TOOLS AND EQUIPMENT FOR INFORMATION PRODUCTION DEPT. OF THE MINISTRY,"4,500,000.00",OKWUE ENTERPRISES NIGERIA,Lagos,ocds-5q8fsw-6202202401848,2022.0,COMPLETED,"Thursday, March 17, 2022","ALAUSA, IKEJA"
Office Renovation and Partitioning of the Technical Support Department of the Ministry of Special Duties IGR,"7,076,989.72",MY SPACE AND ME INTERIOR AND DESIGN,Lagos,ocds-5q8fsw-6202212674228,2021.0,COMPLETED,"Tuesday, November 9, 2021","ALAUSA, IKEJA"
"Equipping the Emergency and Security Regional Dispatch Centre Health Clinic, Epe","12,274,747.50",FISHCROSS MEDICAL SERVICES LIMITED,Lagos,ocds-5q8fsw-6202212183072,2021.0,COMPLETED,"Thursday, October 28, 2021","EPE, LAGOS"
"RENOVATION, ELECTRICAL,WALL SCREEDING AND PAINTING OF LEGAL UNIT","1,839,907.00",MIKKY LOFTY VENTURES,Lagos,ocds-5q8fsw-6202216461828,2021.0,COMPLETED,"Friday, May 14, 2021","IKEJA, LAGOS"
"Additional Work 2 at the Emergency and Security Regional Dispatch Centre, Epe Local Government Area of Lagos State","15,311,890.00",MY SPACE AND ME INTERIOR AND DESIGN,Lagos,ocds-5q8fsw-6202210430610,2021.0,COMPLETED,"Thursday, July 22, 2021","EPE, LAGOS"
Service Fees for Terms 2 of Y2020/Y2021 Academic Session at a Service fee,"2,706,963,672.65",BRIDGE INTERNATIONAL ACADEMIES,Lagos,ocds-5q8fsw-6202208276147,2021.0,ONGOING,"Thursday, September 16, 2021","IKORODU, LAGOS"
EVACUATION OF FILLED SEPTIC TANKS AND REPAIRS OF DAMAGED SOAK AWAY ANS SEPTIC TANKS IN SEVENTY-FIVE (75)PRIMARY SCHOOLS,"38,690,324.98",RAMFI NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202212317716,2021.0,ONGOING,"Friday, July 23, 2021","IKORODU, LAGOS"
Training on Production and  Management of Instructional Materials for Public Primary Schools Teachers incharge of Vocational Centres,"6,500,000.00",VIEWPOINT EDUCATIONAL SERVICES LIMITED,Lagos,ocds-5q8fsw-6202275140852,2021.0,COMPLETED,"Monday, July 12, 2021","IKORODU, LAGOS"
PROCUREMENT OF CONSUMABLE ITEMS AND LEARNING MATERIALS FOR VOCATIONAL CENTRES,"9,990,000.00",BLOBAR ASSOCIATES NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202282253736,2021.0,COMPLETED,"Monday, June 28, 2021","IKORODU, LAGOS"
PROCUREMENT OF SCHOOL FARM FOR SIX (6) SCHOOLS,"34,776,000.00",BIDEUX ENTERPRISES,Lagos,ocds-5q8fsw-6202282022020,2021.0,COMPLETED,"Friday, June 25, 2021","IKORODU, LAGOS"
PROCUREMENT OUT-DOOR EQUIPMENT AND TELEVISION SETS FOR EARLY CHILDHOOD CARE DEVELOPMENT EDUCATION (ECCDE),"19,980,000.00",HAYJID OPERATIONS LIMITED,Lagos,ocds-5q8fsw-6202242807803,2021.0,COMPLETED,"Friday, June 25, 2021","IKORODU, LAGOS"
PROCUREMENT OF AGE APPROPRIATE OUT DOOR ECCDE PLAY EQUIPMENT,"7,992,000.00",HAYJID OPERATIONS LIMITED,Lagos,ocds-5q8fsw-6202288268187,2021.0,COMPLETED,"Friday, June 25, 2021","IKORODU, LAGOS"
"RECORDING, AIRING AND POSTPRODUCTION OF CLASSROOM IN YOUR HOME","15,350,000.00",GLOBAL EDUCATION MEDIA NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202221510667,2021.0,COMPLETED,"Tuesday, June 1, 2021","IKORODU, LAGOS"
"Production and Printing of materials for Registration of Pupils into ECCDE, primary One/Transfer of Pupils into Primary 2-5, letterhead and accessories for y2021/2022 JS 1 Placement Exercise","5,830,500.00",BLOBAR ASSOCIATES NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202280871771,2021.0,COMPLETED,"Monday, May 31, 2021","IKORODU, LAGOS"
Procurement of Furniture,"4,807,500.00",DAMSUL SERVICES,Lagos,ocds-5q8fsw-6202280053806,2021.0,COMPLETED,"Friday, May 7, 2021","IKORODU, LAGOS"
Procurement Five (5) fire proof Safe,"4,875,000.00",HESBEE ENTERPRISES LIMITED,Lagos,ocds-5q8fsw-6202267517886,2021.0,COMPLETED,"Friday, May 7, 2021","IKORODU, LAGOS"
Procurement of fifteen (15) Split Ac,"4,716,225.00",DAMSUL SERVICES,Lagos,ocds-5q8fsw-6202246710161,2021.0,COMPLETED,"Friday, May 7, 2021","IKORODU, LAGOS"
Procurement and Printing of Letter Heads and different sizes of Envelops,"3,668,500.00",BLOBAR ASSOCIATES NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202200046635,2021.0,COMPLETED,"Friday, May 7, 2021","IKORODU, LAGOS"
Training Programme for LASUBEB Management Other Stakeholders,"4,450,000.00",SIMPLIALPHA CONSULTING LIMITED,Lagos,ocds-5q8fsw-6202283246432,2021.0,COMPLETED,"Tuesday, April 6, 2021","IKORODU, LAGOS"
"Y2009-Y2010 TETFUND INTERVENTION PROJECTS Completion of a Block of 6 Classrooms with Offices and Toilet at L.A Primary School, Obada Epe, Lagos","25,059,161.21",ASHBURTON GROVE LIMITED,Lagos,ocds-5q8fsw-6202251214801,2021.0,ONGOING,"Wednesday, February 17, 2021","EPE, LAGOS"
"Y2009-Y2010 TETFUND INTERVENTION PROJECTS Completion of a Block of 13 Classrooms with Offices and Toilets at Community Primary School, Amikanle, Alimosho","58,189,798.65",DARAMSON NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202280361063,2021.0,ONGOING,"Wednesday, February 17, 2021","ALIMOSHO, LAGOS"
"Y2009-Y2010 TETFUND INTERVENTION PROJECTS Completion of a Block of 13 Classrooms at Lafiaji Junior Secondary School, Okesuna, Lagos","44,232,062.08",JULIUS AKINLABI NIGERIA LTD,Lagos,ocds-5q8fsw-6202282231277,2021.0,ONGOING,"Wednesday, February 17, 2021","OKESUNA, LAGOS"
"Y2009-Y2010 TETFUND INTERVENTION PROJECTS Completion of a Block of 13 Classrooms with Offices and Toilets at L.A Primary School, Aguda, surulere","51,871,673.53",INTERWAVES GLOBAL SERVICES LIMITED,Lagos,ocds-5q8fsw-6202234538112,2021.0,ONGOING,"Wednesday, February 17, 2021","SURULERE, LAGOS"
Additional Works on Renovation of the Office of the Permanent Secretary of MSD IGR,"3,164,101.25",SYNTRICAT SOLUTIONS LIMITED,Lagos,ocds-5q8fsw-6202250480121,2021.0,COMPLETED,"Tuesday, December 7, 2021","ALAUSA, IKEJA"
"Procurement of Bunk Beds and Mattresses for use at the Orientation Camp, Ipaja Lagos","9,900,000.00",SYNTRICAT SOLUTIONS LIMITED,Lagos,ocds-5q8fsw-6202270548802,2021.0,COMPLETED,"Tuesday, September 14, 2021","IPAJA, LAGOS"
Procurement of Office Equipment for the Technical Support Department of Ministry of Special Duties and IGR,"8,140,600.00",SYNTRICAT SOLUTIONS LIMITED,Lagos,ocds-5q8fsw-6202224682847,2021.0,COMPLETED,"Tuesday, September 7, 2021","ALAUSA, IKEJA"
"Renovation of Lagos State Emergency Management Agency Relief/Resettlement Camp, Igando","72,919,632.43",TIMFAT VENTURES,Lagos,ocds-5q8fsw-6202244133046,2021.0,COMPLETED,"Monday, July 26, 2021","IGANDO, LAGOS"
Procurement/Installation of furniture in the Command and Control Centre and CAPPA Base,"99,785,000.00",NEOTS LIMITED,Lagos,ocds-5q8fsw-6202228320020,2021.0,COMPLETED,"Wednesday, January 6, 2021","ALAUSA, IKEJA"
Renovation of Office of the Permanent Secretary Ministry of Special Duties IGR,"4,000,000.00",SYNTRICAT SOLUTIONS LIMITED,Lagos,ocds-5q8fsw-6202274364660,2021.0,COMPLETED,"Wednesday, June 23, 2021","ALAUSA, IKEJA"
Procurement of Furniture /Fittings/Equipment towards the Commissioning of the New LASEMA Response Unit  at the Emergency and Security Regional Dispatch Centre Epe Local Government Area of Lagos State,"81,514,925.00",NEOTS LIMITED,Lagos,ocds-5q8fsw-6202252730551,2021.0,COMPLETED,"Friday, June 4, 2021","EPE, LAGOS"
The Replacement of the Vandalized Light Duty Rescue Equipment attached to Lekki LASEMA Response Unit Dispatch Centre,"40,000,000.00",LINKINPAK NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202214103855,2021.0,COMPLETED,"Friday, May 28, 2021","LEKKI, LAGOS"
The Construction of Makeshift Office at Razed LASEMA Response Unit Dispatch Centre Lekki,"9,000,000.00",LINKINPAK NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202281852183,2021.0,COMPLETED,"Friday, May 28, 2021","LEKKI, LAGOS"
Contract Award for the Television Programme- Safe Lagos Advocacy Campaign,"40,000,000.00",POINTCLEAR FILMS PRODUCTION,Lagos,ocds-5q8fsw-6202220362621,2021.0,ONGOING,"Monday, May 24, 2021","ALAUSA, IKEJA"
PROCUREMENT OF WORKING TOOLS FOR DIVISIONAL INFORMATION OFFICES,"3,220,000.00",JASON S HEIGHTS VENTURES LIMITED,Lagos,ocds-5q8fsw-6202275836028,2021.0,COMPLETED,"Monday, December 6, 2021","ALAUSA, IKEJA"
TVC STRATEGIC MEDIA PARTNERSHIP WITH LAGOS STATE GOVERNMENT,"30,000,000.00",CONTINENTAL BROADCASTING SERVICES (TVC),Lagos,ocds-5q8fsw-6202214606515,2021.0,COMPLETED,"Monday, November 15, 2021",LAGOS STATE
PUBLICITY AND MEDIA CAMPAIN TO COMBAT FLOODING AND BLOCKAGE OF DRAINAGE CHANNELS,"10,000,000.00",DEMONUMENT COMMUNICATIONS,Lagos,ocds-5q8fsw-6202213426133,2021.0,COMPLETED,"Friday, May 28, 2021","ALAUSA, IKEJA"
PUBLIC SENSITIZATION ON MENACE OF OKADA RIDERS IN THE STATE,"10,000,000.00",DEMONUMENT COMMUNICATIONS,Lagos,ocds-5q8fsw-6202221482335,2021.0,COMPLETED,"Friday, May 28, 2021","ALAUSA, IKEJA"
PROCUREMENT OF HIGH CAPACITY VIDEO COPTER DRONE FOR THE MINISTRY,"4,999,000.00",OKWUE ENTERPRISES NIGERIA,Lagos,ocds-5q8fsw-6202256637434,2021.0,COMPLETED,"Tuesday, October 5, 2021","ALAUSA, IKEJA"
PROCUREMENT OF OPERATIONAL EQUIPMENT FOR THE MINISTRY,"4,200,000.00",OKWUE ENTERPRISES NIGERIA,Lagos,ocds-5q8fsw-6202256453043,2021.0,COMPLETED,"Wednesday, July 7, 2021","ALAUSA, IKEJA"
Procurement of Fuel for LASEMA Operational Activities for the month of March 2022,"40,000,000.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Lagos,ocds-5q8fsw-6202254660056,2022.0,COMPLETED,"Thursday, April 7, 2022","ALAUSA, LAGOS"
PROCUREMENT OF OPERATIONAL VIDEO CAMERA FOR THE MINISTRY,"4,200,000.00",OKWUE ENTERPRISES NIGERIA,Lagos,ocds-5q8fsw-6202234721852,2021.0,COMPLETED,"Wednesday, July 7, 2021",Unspecified
Contract Award for the Facility Management of the Command Control Centre; Operation of the Call Centre and the Mobile CCTV System,"1,200,000,000.00",LEAPSOFT LIMITED,Lagos,ocds-5q8fsw-6202262076202,2021.0,ONGOING,"Tuesday, May 18, 2021","ALAUSA, IKEJA"
Procurement of Fuel for LASEMA Operational Activities for the month of February 2022,"40,000,000.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Lagos,ocds-5q8fsw-6202262011564,2022.0,COMPLETED,"Thursday, March 3, 2022","ALAUSA, LAGOS"
PROCUREMENT OF PHOTOGRAPHIC CAMERA FOR THE MINISTRY,"4,800,000.00",OKWUE ENTERPRISES NIGERIA,Lagos,ocds-5q8fsw-6202285548206,2021.0,COMPLETED,"Thursday, July 7, 2022","ALAUSA, IKEJA"
Procurement of Fuel for LASEMA Operational Activities for the month of January 2022,"40,000,000.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Lagos,ocds-5q8fsw-6202276362627,2022.0,COMPLETED,"Thursday, March 3, 2022","ALAUSA, LAGOS"
REFURBISHMENT AND PROCUREMENT OF OFFICE FURNITURE / WORKSTATION,"2,500,000.00",TOPEK (NIGERIA) ENTERPRISES,Lagos,ocds-5q8fsw-6202283284528,2021.0,COMPLETED,"Monday, September 20, 2021","ALAUSA, IKEJA"
Maintenance and Upkeep of Lekki Zone for The Month of February2022,"2,200,000.00",JIKHA CONCEPTS,Lagos,ocds-5q8fsw-6202204753037,2022.0,COMPLETED,"Thursday, March 10, 2022","LEKKI, LAGOS"
PROCUREMENT OF PROFESSIONAL CAMERA FOR PUBLIC NLIGHTMENT DEPT OF THE MIN,"4,500,000.00",CENTURION COMMUNICATION,Lagos,ocds-5q8fsw-6202202266841,2021.0,COMPLETED,"Tuesday, September 14, 2021","ALAUSA, IKEJA"
Contract Award for the ICT Upgrade of the Command and Control Centre Alausa Ikeja,"234,235,817.00",LEAPSOFT LIMITED,Lagos,ocds-5q8fsw-6202264171805,2021.0,COMPLETED,"Tuesday, May 18, 2021","ALAUSA, IKEJA"
Maintenance and Upkeep of The Cappa  Base for The Month of February 2022,"2,200,000.00",AHIMSA CONSULTING LIMITED,Lagos,ocds-5q8fsw-6202215870726,2022.0,COMPLETED,"Thursday, March 31, 2022",LAGOS
Procurement of Four (4) Air-Conditioners,"995,000.00",OCEANIC PALMS SERVICES,Lagos,ocds-5q8fsw-6202200330121,2021.0,COMPLETED,"Monday, March 22, 2021","ALAUSA, IKEJA"
"BINDING OF NEWSPAPER (JAN. - JUNE, 2020)","2,452,000.00",DE ATMAN PRESS LTD,Lagos,ocds-5q8fsw-6202241822815,2021.0,COMPLETED,"Tuesday, September 14, 2021",LAGOS
Maintenance and Upkeep of The Onipanu Unit for The Month of February 2022,"2,200,000.00",MIRABLISS GLOBAL SERVICES LTD,Lagos,ocds-5q8fsw-6202226853568,2022.0,COMPLETED,"Thursday, March 31, 2022",LAGOS
PROCUREMENT OF OPERATIONAL EQUIPMENT FOR INFORMATION PRODUCTION DEPT.,"14,000,000.00",OKWUE ENTERPRISES NIGERIA,Lagos,ocds-5q8fsw-6202267271826,2021.0,COMPLETED,"Saturday, August 28, 2021","ALAUSA, IKEJA"
Maintenance and Upkeep of The Onipanu Unit for The Month of January 2022,"2,200,000.00",MIRABLISS GLOBAL SERVICES LTD,Lagos,ocds-5q8fsw-6202227354037,2022.0,COMPLETED,"Monday, February 28, 2022","ONIPANU, LAGOS"
Contract Award for Fleet Management and Pre-Hospital Management of the Lagos State Emergency Management Agency,"960,000,000.00",OMARLINK INTERGRATED SERVICES LTD,Lagos,ocds-5q8fsw-6202253553654,2021.0,COMPLETED,"Monday, March 1, 2021","ALAUSA, IKEJA"
"Maintenance and Upkeep of The Lasema Relief Resettelement Camp,Agbowa for The Month of February 2022","2,200,000.00",XC - WISDOMGATE GLOBAL CONCEPT LIMITED,Lagos,ocds-5q8fsw-6202247427732,2022.0,COMPLETED,"Thursday, March 31, 2022","AGBOWA, LAGOS"
"Maintenance and Upkeep of The Lasema Relief Resettelement Camp,Agbowa for The Month of January 2022","2,200,000.00",XC - WISDOMGATE GLOBAL CONCEPT LIMITED,Lagos,ocds-5q8fsw-6202281424140,2022.0,COMPLETED,"Tuesday, March 8, 2022","AGBOWA, LAGOS"
"Maintenance and Upkeep of The Lasema Relief Resettlement Camp, Igando for the Month of February","2,200,000.00",L.B.B.S. LIMITED,Lagos,ocds-5q8fsw-6202267154123,2022.0,COMPLETED,"Thursday, March 31, 2022","IGANDO, LAGOS"
Global Servicing and Repairs of Lagos State Emergency Management Agencys Operational power Motor Bikes (20 Nos.),"12,197,621.40",LINKINPAK NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202280844275,2021.0,COMPLETED,"Tuesday, January 12, 2021","ALAUSA, IKEJA"
"Maintenance and Upkeep of The Lasema Relief Ressettlement Camp,Igando for the Month of January","2,200,000.00",L.B.B.S. LIMITED,Lagos,ocds-5q8fsw-6202257633634,2022.0,COMPLETED,"Friday, March 4, 2022","ALAUSA, LAGOS"
The Purchase of One (1) Nos Dji Inspire Drone 2 and Other Media Accessories for the Public Affairs Unit,"7,070,999.99",MIRABLISS GLOBAL SERVICES LTD,Lagos,ocds-5q8fsw-6202267853225,2022.0,ON-GOING,"Thursday, March 31, 2022","ALAUSA, LAGOS"
"Production of Strategic Workplan, Certificates other Products for LASODA.","2,483,600.00",MERIT EXPRESSIONS AND CORPORATE SERVICES LTD,Lagos,ocds-5q8fsw-6202208844732,2021.0,COMPLETED,"Thursday, December 23, 2021","ALAUSA, IKEJA"
Sensitization Awareness of Lagos State Sports Festival,"4,800,000.00",DE-MMG MEDIA,Lagos,ocds-5q8fsw-6202256448615,2021.0,COMPLETED,"Tuesday, September 28, 2021","ALAUSA, IKEJA"
Engagement of Environmental Consulting Firm for update of Lagos State Wetland Study Field Report 2009 and Review of the Draft Policy on Wetland Management and Conservation of its Biodiversity 2016,"32,001,375.00",NATURESCOPEX NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202210554133,2021.0,4,"Friday, April 23, 2021",LAGOS
Production of Radio Jingles and Airing on Six radio Stations for the promotion of Healthy sanitation habits amongst residents,"2,478,143.52",GANEE VENTURES NIG. LTD,Lagos,ocds-5q8fsw-6202258567151,2022.0,COMPLETED,"Friday, March 18, 2022",LAGOS
"Procurement of Stationery items, Account Books, Store Recore Cards and Registers for the Account Department","2,473,000.00",BASOG EQUIPMENT NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202225725782,2022.0,COMPLETED,"Tuesday, March 22, 2022",LAGOS
Procurement of Stationery and Consumable Items,"1,363,000.00",OLAYIBOLANLE NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202275043625,2022.0,COMPLETED,"Thursday, March 24, 2022",LAGOS
Procurement of Office Equipment,"7,731,000.00",DI TRADING POST VENTURES,Lagos,ocds-5q8fsw-6202227187252,2021.0,COMPLETED,"Wednesday, May 26, 2021",LAGOS
CONSULTING SERVICES ON DESIGN AND DEVELOPMENT OF LAGOS STATE UNIVERSITY(LASU) ULTRA MODERN TECH. HUB,"300,000,000.00",BEEB BILL ASSOCIATES,Lagos,ocds-5q8fsw-6202237258851,2021.0,COMPLETED,"Sunday, March 28, 2021",Unspecified
Production of a Movie to support advocacy against sexual and gender based violence (SGBV),"15,000,000.00",OYINTECH ASSURED ENTERPRISE S,Lagos,ocds-5q8fsw-6202265161047,2021.0,COMPLETED,"Tuesday, June 1, 2021",LAGOS
Procurement of Uniform and Protectives Outfits,"2,466,400.00",L IMAGE KONCEPTS LTD,Lagos,ocds-5q8fsw-6202252215658,2021.0,COMPLETED,"Friday, May 28, 2021",LAGOS
"Reframing and Polishing of Artsworks on the Corridor, Staircases and Offices of the Ministry of Tourism, Arts and Culture.","4,000,000.00",FOJOL SCULPT NIGERIA ENTERPRISES,Lagos,ocds-5q8fsw-6202268171606,2021.0,COMPLETED,"Tuesday, May 11, 2021","IKEJA, LAGOS"
"Procurement of Reagents, Chemicals Consumables and Equipment for plant certification and recertification","14,168,000.00",ALEEPH ENVIRONMENTAL SERVICES LIMITED,Lagos,ocds-5q8fsw-6202222600372,2021.0,COMPLETED,"Thursday, September 30, 2021",Unspecified
